Profile,Height,Width,Web,Flange,Radius_1,Radius_2
HEB260,260,260,10,17.5,24,
HEB280,280,280,10.5,18,24,
HEB300,300,300,11,19,27,
HEB320,320,300,11.5,20.5,27,
HEB340,340,300,12,21.5,27,
HEB360,360,300,12.5,22.5,27,
HEB400,400,300,13.5,24,27,
HEB450,450,300,14,26,27,
HEB500,500,300,14.5,28,27,
HEB550,550,300,15,29,27,
HEB600,600,300,15.5,30,27,
HEB650,650,300,16,31,27,
HEB700,700,300,17,32,27,
HEB800,800,300,17.5,33,30,
HEB900,900,300,18.5,35,30,
HEB1000,1000,300,19,36,30,
HEM100,120,106,12,20,12,
HEM120,140,126,12.5,21,12,
HEM140,160,146,13,22,12,
HEM160,180,166,14,23,15,
HEM180,200,186,14.5,24,15,
HEM200,220,206,15,25,18,
HEM220,240,226,15.5,26,18,
HEM240,270,248,18,32,21,
HEM260,290,268,18,32.5,24,
HEM280,310,288,18.5,33,24,
HEM300,340,310,21,39,27,
HEM320,359,309,21,40,27,
HEM340,377,309,21,40,27,
HEM360,395,308,21,40,27,
HEM400,432,307,21,40,27,
HEM450,478,307,21,40,27,
HEM500,524,306,21,40,27,
HEM550,572,306,21,40,27,
HEM600,620,305,21,40,27,
HEM650,668,305,21,40,27,
HEM700,716,304,21,40,27,
HEM800,814,303,21,40,30,
HEM900,910,302,21,40,30,
HEM1000,1008,302,21,40,30,
HE 100 AA,91,100,4.2,5.5,12,
HE 120 AA,109,120,4.2,5.5,12,
HE 140 AA,128,140,4.3,6,12,
HE 60 AA,148,160,4.5,7,15,
HE 180 AA,167,180,5,7.5,15,
HE 200 AA,186,200,5.5,8,18,
HE 220 AA,205,220,6,8.5,18,
HE 240 AA,224,240,6.5,9,21,
HE 260 AA,244,260,6.5,9.5,24,
HE 280 AA,264,280,7,10,24,
HE 300 AA,283,300,7.5,10.5,27,
HE 320 AA,301,300,8,11,27,
HE 340 AA,320,300,8.5,11.5,27,
HE 360 AA,339,300,9,12,27,
HE 400 AA,378,300,9.5,13,27,
HE 450 AA,425,300,10,13.5,27,
HE 500 AA,472,300,10.5,14,27,
HE 550 AA,522,300,11.5,15,27,
HE 600 AA,571,300,12,15.5,27,
HE 650 AA,620,300,12.5,16,27,
HE 700 AA,670,300,13,17,27,
HE 800 AA,770,300,14,18,30,
HE 900 AA,870,300,15,20,30,
HE 1000 AA,970,300,16,21,30,
TB 20,20,40,4,,,
TB 25,25,50,5,,,
TB 30,30,60,5.5,,,
TB 35,35,70,6,,,
TB 40,40,80,7,,,
TB 50,50,100,8.5,,,
TB 60,60,120,10,,,
T 20x20x3,20,20,3,,,
T 20x20x4,20,20,4,,,
T 25x25x3,25,25,3,,,
T 25x25x3.5,25,25,3.5,,,
T 25x25x4,25,25,4,,,
T 30x30x3,30,30,3,,,
T 30x30x4,30,30,4,,,
T 30x30x5,30,30,5,,,
T 35x35x3,35,35,3,,,
T 35x35x4,35,35,4,,,
T 35x35x5,35,35,5,,,
T 40x40x3,40,40,3,,,
T 40x40x4,40,40,4,,,
T 40x40x5,40,40,5,,,
T 40x40x6,40,40,6,,,
T 45x45x3,45,45,3,,,
T 45x45x4,45,45,4,,,
T 45x45x5,45,45,5,,,
T 45x45x6,45,45,6,,,
T 50x50x3,50,50,3,,,
T 50x50x4,50,50,4,,,
T 50x50x5,50,50,5,,,
T 50x50x6,50,50,6,,,
T 50x50x7,50,50,7,,,
T 50x50x8,50,50,8,,,
T 60x60x5,60,60,5,,,
T 60x60x6,60,60,6,,,
T 60x60x7,60,60,7,,,
T 60x60x8,60,60,8,,,
T 60x60x10,60,60,10,,,
T 65x65x5,65,65,5,,,
T 65x65x6,65,65,6,,,
T 65x65x7,65,65,7,,,
T 65x65x8,65,65,8,,,
T 65x65x9,65,65,9,,,
T 65x65x10,65,65,10,,,
T 70x70x5,70,70,5,,,
T 70x70x6,70,70,6,,,
T 70x70x7,70,70,7,,,
T 70x70x8,70,70,8,,,
T 70x70x9,70,70,9,,,
T 70x70x10,70,70,10,,,
T 75x75x5,75,75,5,,,
T 75x75x6,75,75,6,,,
T 75x75x7,75,75,7,,,
T 75x75x8,75,75,8,,,
T 75x75x9,75,75,9,,,
T 75x75x10,75,75,10,,,
T 80x80x5,80,80,5,,,
T 80x80x6,80,80,6,,,
T 80x80x7,80,80,7,,,
T 80x80x8,80,80,8,,,
T 80x80x9,80,80,9,,,
T 80x80x10,80,80,10,,,
T 90x90x6,90,90,6,,,
T 90x90x7,90,90,7,,,
T 90x90x8,90,90,8,,,
T 90x90x9,90,90,9,,,
T 90x90x10,90,90,10,,,
T 100x100x6,100,100,6,,,
T 100x100x7,100,100,7,,,
T 100x100x8,100,100,8,,,
T 100x100x9,100,100,9,,,
T 100x100x10,100,100,10,,,
T 100x100x12,100,100,12,,,
T 110x110x6,110,110,6,,,
T 110x110x7,110,110,7,,,
T 110x110x8,110,110,8,,,
T 110x110x9,110,110,9,,,
T 110x110x10,110,110,10,,,
T 110x110x11,110,110,11,,,
T 110x110x12,110,110,12,,,
T 120x120x7,120,120,7,,,
T 120x120x8,120,120,8,,,
T 120x120x9,120,120,9,,,
T 120x120x10,120,120,10,,,
T 120x120x11,120,120,11,,,
T 120x120x12,120,120,12,,,
T 120x120x13,120,120,13,,,
T 120x120x15,120,120,15,,,
T 130x130x8,130,130,8,,,
T 130x130x9,130,130,9,,,
T 130x130x10,130,130,10,,,
T 130x130x11,130,130,11,,,
T 130x130x12,130,130,12,,,
T 130x130x13,130,130,13,,,
T 130x130x15,130,130,15,,,
T 140x140x8,140,140,8,,,
T 140x140x9,140,140,9,,,
T 140x140x10,140,140,10,,,
T 140x140x11,140,140,11,,,
T 140x140x12,140,140,12,,,
T 140x140x13,140,140,13,,,
T 140x140x15,140,140,15,,,
T 150x150x8,150,150,8,,,
T 150x150x9,150,150,9,,,
T 150x150x10,150,150,10,,,
T 150x150x12,150,150,12,,,
T 150x150x13,150,150,13,,,
T 150x150x15,150,150,15,,,
T 150x150x20,150,150,20,,,
T 160x160x10,160,160,10,,,
T 160x160x12,160,160,12,,,
T 160x160x13,160,160,13,,,
T 160x160x15,160,160,15,,,
T 160x160x20,160,160,20,,,
T 180x180x10,180,180,10,,,
T 180x180x12,180,180,12,,,
T 180x180x13,180,180,13,,,
T 180x180x15,180,180,15,,,
T 180x180x20,180,180,20,,,
T 200x200x10,200,200,10,,,
T 200x200x12,200,200,12,,,
T 200x200x13,200,200,13,,,
T 200x200x15,200,200,15,,,
T 200x200x20,200,200,20,,,
T 250x250x10,250,250,10,,,
T 250x250x12,250,250,12,,,
T 250x250x13,250,250,13,,,
T 250x250x15,250,250,15,,,
T 250x250x20,250,250,20,,,
T 300x300x10,300,300,10,,,
UPA 50x25x3,50,25,3,3,,
UPA 60x30x5,60,30,5,5,,
UPA 80x40x4,80,40,4,4,,
UPA 80x40x5,80,40,5,5,,
UPA 80x40x6,80,40,6,6,,
UPA 100x50x4,100,50,4,4,,
UPA 100x50x5,100,50,5,5,,
UPA 100x50x6,100,50,6,6,,
UPA 120x60x5,120,60,5,5,,
UPA 120x60x6,120,60,6,6,,
UPA 130x65x6,130,65,6,6,,
UPA 130x65x9,130,65,9,9,,
UPA 140x70x7,140,70,7,7,,
UPA 150x75x6,150,75,6,6,,
UPA 150x75x9,150,75,9,9,,
UPA 160x80x6,160,80,6,6,,
UPA 160x80x8,160,80,8,8,,
UPA 180x90x8,180,90,8,8,,
UPA 200x100x8,200,100,8,8,,
UPA 200x100x10,200,100,10,10,,
UPE 80,80,50,4,7,,
UPE 100,100,55,4.5,7.5,,
UPE 120,120,60,5,8,,
UPE 140,140,65,5,9,,
UPE 160,160,70,5.5,9.5,,
UPE 180,180,75,5.5,10.5,,
UPE 200,200,80,6,11,,
UPE 220,220,85,6.5,12,,
UPE 240,240,90,7,12.5,,
UPE 270,270,95,7.5,13.5,,
UPE 300,300,100,9.5,15,,
UPE 330,330,105,11,16,,
UPE 360,360,110,12,17,,
UPE 400,400,115,13.5,18,,
UPN 20x10x3,20,10,3,3.5,3.5,2.5
UPN 30x15x4,30,15,4,4.5,4.5,2.5
UPN 30x33x5,30,33,5,7,7,3
UPN 40x20x3,40,20,3,3.3,3.3,3
UPN 40x20x4,40,20,4,4.5,4.5,3
UPN 40x35x5,40,35,5,7,7,3
UPN 50x25x5,50,25,5,6,5,3.5
UPN 50,50,38,5,7,7,3.5
UPN 60x30x6,60,30,6,6,6,3
UPN 65,65,42,5.5,7.5,7.5,4
UPN 80,80,45,6,8,8,4
UPN 100,100,50,6,8.5,8.5,4.5
UPN 120,120,55,7,9,9,4.5
UPN 140,140,60,7,10,10,5
UPN 160,160,65,7.5,10.5,10.5,5.5
UPN 180,180,70,8,11,11,5.5
UPN 200,200,75,8.5,11.5,2,<1
UPN 220,220,80,9,12.5,2,<1
UPN 240,240,85,9.5,13,2,<1
UPN 260,260,90,10,14,2,<1
UPN 280,280,95,10,15,2,<1
UPN 300,300,100,10,16,2,<1
UPN 320,320,100,14,17.5,2,<1
UPN 350,350,100,14,16,2,<1
UPN 380,380,102,13.5,16,2,<1
UPN 400,400,110,14,18,2,<1
L 15x15x2,0.45,15,2,,,
L 15x15x3,0.66,15,3,,,
L 20x20x2,0.89,20,2,,,
L 20x20x3,0.9,20,3,,,
L 20x20x4,1.16,20,4,,,
L 25x25x3,1.14,25,3,,,
L 25x25x4,1.48,25,4,,,
L 25x25x5,1.82,25,5,,,
L 30x30x3,1.39,30,3,,,
L 30x30x4,1.81,30,4,,,
L 30x30x5,2.22,30,5,,,
L 30x30x6,2.61,30,6,,,
L 35x35x4,2.13,35,4,,,
L 35x35x5,2.62,35,5,,,
L 40x40x3,1.87,40,3,,,
L 40x40x4,2.46,40,4,,,
L 40x40x5,3.03,40,5,,,
L 40x40x6,3.58,40,6,,,
L 45x45x3,2.13,45,3,,,
L 45x45x4,2.79,45,4,,,
L 45x45x5,3.44,45,5,,,
L 50x50x3,2.37,50,3,,,
L 50x50x4,3.11,50,4,,,
L 50x50x5,3.8,50,5,,,
L 50x50x6,4.52,50,6,,,
L 50x50x7,5.21,50,7,,,
L 50x50x8,5.89,50,8,,,
L 60x60x5,4.6,60,5,,,
L 60x60x6,5.48,60,6,,,
L 60x60x7,6.33,60,7,,,
L 60x60x8,7.17,60,8,,,
L 60x60x10,8.8,60,10,,,
L 65x65x6,5.96,65,6,,,
L 65x65x7,6.89,65,7,,,
L 65x65x8,7.81,65,8,,,
L 65x65x9,8.72,65,9,,,
L 65x65x10,9.6,65,10,,,
L 70x70x5,5.4,70,5,,,
L 70x70x6,6.44,70,6,,,
L 70x70x7,7.45,70,7,,,
L 70x70x8,8.45,70,8,,,
L 70x70x9,9.44,70,9,,,
L 70x70x10,10.4,70,10,,,
L 75x75x5,5.8,75,5,,,
L 75x75x6,6.92,75,6,,,
L 75x75x7,8.01,75,7,,,
L 75x75x8,9.09,75,8,,,
L 75x75x9,10.16,75,9,,,
L 75x75x10,11.2,75,10,,,
L 80x80x6,7.4,80,6,,,
L 80x80x7,8.57,80,7,,,
L 80x80x8,9.73,80,8,,,
L 80x80x9,10.88,80,9,,,
L 80x80x10,12,80,10,,,
L 90x90x6,8.36,90,6,,,
L 90x90x7,9.69,90,7,,,
L 90x90x8,11.01,90,8,,,
L 90x90x9,12.32,90,9,,,
L 90x90x10,13.6,90,10,,,
L 100x100x6,9.32,100,6,,,
L 100x100x7,10.81,100,7,,,
L 100x100x8,12.29,100,8,,,
L 100x100x9,13.76,100,9,,,
L 100x100x10,15.2,100,10,,,
L 100x100x12,18.05,100,12,,,
L 110x110x6,10.28,110,6,,,
L 110x110x7,11.93,110,7,,,
L 110x110x8,13.57,110,8,,,
L 110x110x9,15.2,110,9,,,
L 110x110x10,16.8,110,10,,,
L 110x110x11,18.4,110,11,,,
L 110x110x12,19.97,110,12,,,
L 120x120x7,13.05,120,7,,,
L 120x120x8,14.85,120,8,,,
L 120x120x9,16.64,120,9,,,
L 120x120x10,18.4,120,10,,,
L 120x120x11,20.16,120,11,,,
L 120x120x12,21.89,120,12,,,
L 120x120x13,23.61,120,13,,,
L 120x120x14,25.32,120,14,,,
L 120x120x15,27,120,15,,,
L 120x120x16,28.68,120,16,,,
L 130x130x8,16.13,130,8,,,
L 130x130x9,18.08,130,9,,,
L 130x130x10,20,130,10,,,
L 130x130x11,21.92,130,11,,,
L 130x130x12,23.81,130,12,,,
L 130x130x13,25.69,130,13,,,
L 130x130x14,27.56,130,14,,,
L 130x130x15,29.4,130,15,,,
L 130x130x16,31.24,130,16,,,
L 140x140x9,19.52,140,9,,,
L 140x140x10,21.6,140,10,,,
L 140x140x11,23.68,140,11,,,
L 140x140x12,25.73,140,12,,,
L 140x140x13,27.77,140,13,,,
L 140x140x14,29.8,140,14,,,
L 140x140x15,31.8,140,15,,,
L 140x140x16,33.8,140,16,,,
L 150x150x10,23.2,150,10,,,
L 150x150x12,27.65,150,12,,,
L 150x150x13,29.85,150,13,,,
L 150x150x14,32.04,150,14,,,
L 150x150x15,34.2,150,15,,,
L 150x150x16,36.36,150,16,,,
L 150x150x18,40.61,150,18,,,
L 150x150x20,44.8,150,20,,,
L 160x160x15,36.6,160,15,,,
L 160x160x16,38.92,160,16,,,
L 160x160x18,43.49,160,18,,,
L 160x160x20,48,160,20,,,
L 180x180x13,36.09,180,13,,,
L 180x180x15,41.4,180,15,,,
L 180x180x16,44.04,180,16,,,
L 180x180x18,49.25,180,18,,,
L 180x180x20,54.4,180,20,,,
L 200x200x13,40.25,200,13,,,
L 200x200x15,46.2,200,15,,,
L 200x200x16,49.16,200,16,,,
L 200x200x18,55.01,200,18,,,
L 200x200x20,60.8,200,20,,,
L 250x250x13,50.65,250,13,,,
L 250x250x15,58.2,250,15,,,
L 250x250x18,69.41,250,18,,,
L 250x250x20,76.8,250,20,,,
L 300x300x13,61.05,300,13,,,
L 300x300x15,70.2,300,15,,,
L 300x300x16,74.76,300,16,,,
L 300x300x18,83.81,300,18,,,
L 300x300x20,92.8,300,20,,,
L 20x10x3,20,10,3,3.5,,
L 25x15x3,25,15,3,3.5,,
L 30x15x3,30,15,3,5,,
L 30x20x3,30,20,3,5,,
L 30x20x4,30,20,4,5,,
L 40x20x3,40,20,3,5,,
L 40x20x4,40,20,4,6,,
L 40x20x5,40,20,5,6,,
L 40x30x3,40,30,3,5,,
L 40x30x4,40,30,4,6,,
L 40x30x5,40,30,5,6,,
L 45x30x3,45,30,3,7,,
L 45x30x4,45,30,4,7,,
L 45x30x5,45,30,5,7,,
L 50x30x3,50,30,3,7,,
L 50x30x4,50,30,4,7,,
L 50x30x5,50,30,5,7,,
L 50x40x3,50,40,3,7,,
L 50x40x4,50,40,4,7,,
L 50x40x5,50,40,5,7,,
L 60x30x5,60,30,5,8,,
L 60x30x6,60,30,6,8,,
L 60x30x7,60,30,7,8,,
L 60x40x5,60,40,5,8/2,,
L 60x40x6,60,40,6,8/2,,
L 65x50x5,65,50,5,9/2,,
L 65x50x7,65,50,7,9/2,,
L 65x50x9,65,50,9,9/2,,
L 70x50x6,70,50,6,9/2,,
L 70x50x7,70,50,7,9/2,,
L 70x50x8,70,50,8,9/2,,
L 70x50x9,70,50,9,9/2,,
L 75x50x6,75,50,6,9/2,,
L 75x50x7,75,50,7,9/2,,
L 75x50x8,75,50,8,9/2,,
L 75x55x6,75,55,6,9/2,,
L 75x55x7,75,55,7,9/2,,
L 75x55x8,75,55,8,9/2,,
L 75x55x9,75,55,9,9/2,,
L 80x40x6,80,40,6,10/2,,
L 80x40x8,80,40,8,10/2,,
L 80x65x6,80,65,6,10/2,,
L 80x65x8,80,65,8,10/2,,
L 80x65x10,80,65,10,10/2,,
L 90x60x6,90,60,6,11/2,,
L 90x60x8,90,60,8,11/2,,
L 100x50x6,100,50,6,12/2,,
L 100x50x8,100,50,8,12/2,,
L 100x50x10,100,50,10,12/2,,
L 100x65x6,100,65,6,12/2,,
L 100x65x7,100,65,7,12/2,,
L 100x65x8,100,65,8,12/2,,
L 100x65x9,100,65,9,12/2,,
L 100x65x10,100,65,10,12/2,,
L 100x75x6,100,75,6,12/2,,
L 100x75x7,100,75,7,12/2,,
L 100x75x8,100,75,8,12/2,,
L 100x75x9,100,75,9,12/2,,
L 100x75x10,100,75,10,12/2,,
L 120x80x6,120,80,6,13/2,,
L 120x80x8,120,80,8,13/2,,
L 120x80x10,120,80,10,13/2,,
L 130x65x6,130,65,6,14/2,,
L 130x65x8,130,65,8,14/2,,
L 130x65x10,130,65,10,14/2,,
L 130x75x6,130,75,6,14/2,,
L 130x75x8,130,75,8,14/2,,
L 130x75x10,130,75,10,14/2,,
L 130x90x10,130,90,10,14/2,,
L 130x90x12,130,90,12,14/2,,
L 140x90x8,140,90,8,15/2,,
L 140x90x10,140,90,10,15/2,,
L 140x90x12,140,90,12,15/2,,
L 150x75x8,150,75,8,16/2,,
L 150x75x10,150,75,10,16/2,,
L 150x90x10,150,90,10,16/2,,
L 150x90x11,150,90,11,16/2,,
L 150x90x12,150,90,12,16/2,,
L 150x100x8,150,100,8,17/2,,
L 150x100x10,150,100,10,17/2,,
L 150x100x12,150,100,12,17/2,,
L 160x100x8,160,100,8,17/2,,
L 160x100x10,160,100,10,17/2,,
L 160x100x12,160,100,12,17/2,,
L 180x90x8,180,90,8,18/2,,
L 180x90x10,180,90,10,18/2,,
L 180x90x12,180,90,12,18/2,,
L 200x100x8,200,100,8,20/2,,
L 200x100x10,200,100,10,20/2,,
L 200x100x12,200,100,12,20/2,,
L 200x100x15,200,100,15,20/2,,
L 200x100x16,200,100,16,20/2,,
L 200x150x12,200,150,12,20/2,,
L 200x150x15,200,150,15,20/2,,
SHS 40 / 2.6,40,40,2.6,2.6,3.9,2.6
SHS 40 / 3.2,40,40,3.2,3.2,4.8,3.2
SHS 40 / 4,40,40,4,4,6,4
SHS 40 / 5,40,40,5,5,7.5,5
SHS 50 / 2.6,50,50,2.6,2.6,3.9,2.6
SHS 50 / 3.2,50,50,3.2,3.2,4.8,3.2
SHS 50 / 4,50,50,4,4,6,4
SHS 50 / 5,50,50,5,5,7.5,5
SHS 50 / 6.3,50,50,6.3,6.3,9.4,6.3
SHS 60 / 2.6,60,60,2.6,2.6,3.9,2.6
SHS 60 / 3.2,60,60,3.2,3.2,4.8,3.2
SHS 60 / 4,60,60,4,4,6,4
SHS 60 / 5,60,60,5,5,7.5,5
SHS 60 / 6.3,60,60,6.3,6.3,9.4,6.3
SHS 60 / 8,60,60,8,8,12,8
SHS 70 / 3.2,70,70,3.2,3.2,4.8,3.2
SHS 70 / 4,70,70,4,4,6,4
SHS 70 / 5,70,70,5,5,7.5,5
SHS 70 / 6.3,70,70,6.3,6.3,9.4,6.3
SHS 70 / 8,70,70,8,8,12,8
SHS 80 / 3.2,80,80,3.2,3.2,4.8,3.2
SHS 80 / 4,80,80,4,4,6,4
SHS 80 / 5,80,80,5,5,7.5,5
SHS 80 / 6.3,80,80,6.3,6.3,9.4,6.3
SHS 80 / 8,80,80,8,8,12,8
SHS 90 / 4,90,90,4,4,6,4
SHS 90 / 5,90,90,5,5,7.5,5
SHS 90 / 6.3,90,90,6.3,6.3,9.4,6.3
SHS 90 / 8,90,90,8,8,12,8
SHS 100 / 4,100,100,4,4,6,4
SHS 100 / 5,100,100,5,5,7.5,5
SHS 100 / 6.3,100,100,6.3,6.3,9.4,6.3
SHS 100 / 8,100,100,8,8,12,8
SHS 100 / 10,100,100,10,10,15,10
SHS 120 / 5,120,120,5,5,7.5,5
SHS 120 / 6.3,120,120,6.3,6.3,9.4,6.3
SHS 120 / 8,120,120,8,8,12,8
SHS 120 / 10,120,120,10,10,15,10
SHS 120 / 12.5,120,120,12.5,12.5,18.8,12.5
SHS 140 / 5,140,140,5,5,7.5,5
SHS 140 / 6.3,140,140,6.3,6.3,9.4,6.3
SHS 140 / 8,140,140,8,8,12,8
SHS 140 / 10,140,140,10,10,15,10
SHS 140 / 12.5,140,140,12.5,12.5,18.8,12.5
SHS 150 / 5,150,150,5,5,7.5,5
SHS 150 / 6.3,150,150,6.3,6.3,9.4,6.3
SHS 150 / 8,150,150,8,8,12,8
SHS 150 / 10,150,150,10,10,15,10
SHS 150 / 12.5,150,150,12.5,12.5,18.8,12.5
SHS 150 / 14.2,150,150,14.2,14.2,21.3,14.2
SHS 150 / 16,150,150,16,16,24,16
SHS 160 / 5,160,160,5,5,7.5,5
SHS 160 / 6.3,160,160,6.3,6.3,9.4,6.3
SHS 160 / 8,160,160,8,8,12,8
SHS 160 / 10,160,160,10,10,15,10
SHS 160 / 12.5,160,160,12.5,12.5,18.8,12.5
SHS 160 / 14.2,160,160,14.2,14.2,21.3,14.2
SHS 160 / 16,160,160,16,16,24,16
SHS 180 / 5,180,180,5,5,7.5,5
SHS 180 / 6.3,180,180,6.3,6.3,9.4,6.3
SHS 180 / 8,180,180,8,8,12,8
SHS 180 / 10,180,180,10,10,15,10
SHS 180 / 12.5,180,180,12.5,12.5,18.8,12.5
SHS 180 / 14.2,180,180,14.2,14.2,21.3,14.2
SHS 180 / 16,180,180,16,16,24,16
SHS 200 / 5,200,200,5,5,7.5,5
SHS 200 / 6.3,200,200,6.3,6.3,9.4,6.3
SHS 200 / 8,200,200,8,8,12,8
SHS 200 / 10,200,200,10,10,15,10
SHS 200 / 12.5,200,200,12.5,12.5,18.8,12.5
SHS 200 / 14.2,200,200,14.2,14.2,21.3,14.2
SHS 200 / 16,200,200,16,16,24,16
SHS 220 / 6.3,220,220,6.3,6.3,9.4,6.3
SHS 220 / 8,220,220,8,8,12,8
SHS 220 / 10,220,220,10,10,15,10
SHS 220 / 12.5,220,220,12.5,12.5,18.8,12.5
SHS 220 / 14.2,220,220,14.2,14.2,21.3,14.2
SHS 220 / 16,220,220,16,16,24,16
SHS 250 / 6.3,250,250,6.3,6.3,9.4,6.3
SHS 250 / 8,250,250,8,8,12,8
SHS 250 / 10,250,250,10,10,15,10
SHS 250 / 12.5,250,250,12.5,12.5,18.8,12.5
SHS 250 / 14.2,250,250,14.2,14.2,21.3,14.2
SHS 250 / 16,250,250,16,16,24,16
SHS 260 / 6.3,260,260,6.3,6.3,9.4,6.3
SHS 260 / 8,260,260,8,8,12,8
SHS 260 / 10,260,260,10,10,15,10
